,T_in_delay1,T_in_delay4,PowerCompr_delay1,T_in_delay3,PowerCompr,T_in_delay2,weaTDryBul_delay1,T_in_delay13,Intercept,weaHGloHor_delay1
Detached_0,1.8995276672589552,-0.17010011215862145,0.022960007103653313,0.6380212263654862,0.06153356853862992,-1.433649756825002,0.00801394501357228,0.02276284246642907,0.6657939087648357,-2.721095916505492e-05
Detached_1,1.8244812950219207,-0.12890134505479237,0.04171823074534156,0.5170602400913107,0.0556458065892863,-1.2838146817782112,0.006506560046952811,0.02324459219926481,0.7453641921295361,0.0002785372490526271
Detached_2,1.8981295335787156,-0.16876659637589864,0.02915856498459793,0.6456687662287595,0.05765065002653285,-1.443442969543529,0.007693120481815055,0.022532701403644974,0.7071555597597369,9.595357700359976e-05
Detached_3,1.8227279172517241,-0.13120474008538419,0.03243944080121142,0.5162547449929217,0.05949192885521426,-1.2784385451011182,0.00571394353716609,0.023656391559974788,0.7557124932326287,9.257273729784078e-05
Detached_4,1.8099814879826484,-0.12047996509360741,0.03816692710892011,0.4874143193514437,0.054381818193738364,-1.2480394851319634,0.007766176577948135,0.023862522584108696,0.7357728199087008,5.1009585771904546e-05
Detached_5,1.8320251591846013,-0.12931913150763685,0.026483251798336827,0.50667448115989,0.06064369957371796,-1.2766718372262376,0.009885727050728493,0.023469007341776267,0.6617679541116215,-0.00022007259647956786
Detached_6,1.8389206382872791,-0.13181547700461432,0.03789740561678823,0.5288771730252615,0.05550449596278164,-1.304978127836856,0.0014030762387129898,0.023389392811534293,0.7717550474295425,0.00031826220325434915
Detached_7,1.9117773133213465,-0.17175381984913526,0.031046276771692805,0.6570787468494672,0.054967771048681974,-1.4640316964364746,0.005959097893957838,0.02208490707104365,0.7139392423585926,5.013744077089577e-05
Detached_8,1.8434793747878815,-0.12676862493532756,0.02778215734332315,0.5034990978050279,0.05769720918792617,-1.285334099548478,0.0067101914864668545,0.023385121301193423,0.664687834349952,-0.00020092986925512627
Detached_9,1.916313784728322,-0.16621627603069689,0.02134382271506538,0.632884845385128,0.06081131213272955,-1.4454475208651782,0.006070175613353622,0.022938333840646728,0.6283023075223643,-0.00017726408821055014
SemiDetached_0,1.9362007886891874,-0.16573141831286894,0.033680983187020286,0.6510705860670778,0.07590263330933968,-1.4842431542462955,0.004871859590692854,0.022421711281775784,0.6502172061965797,4.9293650764485773e-05
SemiDetached_1,1.8286667119418092,-0.13264044132165909,0.043426601937509884,0.5324304619221888,0.07867520923318494,-1.3013042430637212,0.004191187819088921,0.024106764768213138,0.8018607441150913,0.00030413339183726104
SemiDetached_10,1.9365585682461322,-0.15960967396217182,0.032319476967531235,0.6325787526433524,0.06401673505554195,-1.4717082115987858,0.006412469921574189,0.02240536978197046,0.6343164837385706,-5.0924808682645305e-05
SemiDetached_11,1.9012236554227282,-0.13357883818858846,0.03693121835798224,0.5542852393593133,0.06383954838984576,-1.3845259121115119,0.007039487038207237,0.022657495605826056,0.6365478043090397,-0.00016326958601282877
SemiDetached_2,1.867577863764817,-0.12527899258905337,0.03662535663541841,0.5152639353581254,0.07013255696639875,-1.321748845270331,0.006660154183766913,0.023791424667283484,0.642681866651114,-0.0001169331228978624
SemiDetached_3,1.8550536339994508,-0.12563563865656727,0.03614493712955258,0.5092110618399859,0.0703203737568805,-1.3037789113223746,0.006420043397088029,0.023573035644283803,0.672527541531653,-0.0001420931511807741
SemiDetached_4,1.8653207341603961,-0.12446420555423757,0.043464179588294904,0.5214884369000423,0.06549785250400944,-1.3284336814550752,0.006508620166055003,0.023310657378657975,0.6833733686799911,3.82805358857174e-05
SemiDetached_5,1.9117439656136939,-0.1523810450643895,0.025807038021816803,0.6018284786544017,0.07425939024638928,-1.4244668876377564,0.006338507628245581,0.022945746660495873,0.6454047517111605,-0.00011082619110421813
SemiDetached_6,1.8964642510915302,-0.15375049503306798,0.042882194502192605,0.6116160171645891,0.06844414838170443,-1.4220944586163968,0.006371145254921596,0.022910842218627967,0.709224234033818,0.00021935529502984286
SemiDetached_7,1.8512174160027854,-0.1251424350522645,0.04657407795118074,0.5243341923681025,0.07256913137197975,-1.3194128500244788,0.004599053290506323,0.023271838216064728,0.740508379528036,0.00032232274769466784
SemiDetached_8,1.9031512575613343,-0.15308622191870958,0.03758301953477697,0.6159979551360105,0.07476612645394698,-1.4333949428511747,0.006412024310639017,0.022716136497313456,0.7041263463653764,0.00018554216818978807
SemiDetached_9,1.9180287867985113,-0.15385922626116383,0.027558386720851424,0.6115401630203623,0.07322768569135334,-1.438975848840273,0.006119977697363054,0.022382291116247777,0.6543728680589607,-4.6732807944158e-05
Terrace_0,1.7606894287062764,-0.08431964479154974,0.04311043783315449,0.3300237623738991,0.06338965632308523,-1.0658083731644608,0.00909349457942552,0.026286191429430405,0.5192046035367788,-5.54222079814491e-05
Terrace_1,1.7140286024577274,-0.09195539523299728,0.06693192372821333,0.36053458436643016,0.07232991325439636,-1.0553932798043983,0.00891706680777534,0.027397382326767205,0.7401966245319245,0.00010594709295365072
Terrace_2,1.9288834059113174,-0.14276828353199336,0.03057062130710797,0.5660563320903536,0.06449417701689386,-1.4043067544723917,0.007404303655381306,0.022830417072333898,0.4623997686443957,-4.653257050629689e-05
Terrace_3,1.6673376985561665,-0.0836702730723447,0.07249418201313373,0.3065441232818159,0.07424782577525188,-0.9640114707792239,0.009507248501819852,0.028322876606234955,0.7390292659839656,1.4885269720891955e-05
Terrace_4,1.7399261992658808,-0.09692812093583245,0.06027638036001681,0.37555076142093924,0.07028218658909037,-1.0869927499106673,0.009373143489702118,0.026491337724538405,0.6756397182836036,2.0122519153232896e-05
Terrace_5,1.8810701182301077,-0.13857295108417583,0.03610093852736607,0.5240202973215489,0.0665261469969233,-1.321888220428491,0.007027169017632147,0.024352789672789282,0.5025163541839517,-8.692381885225775e-05
Terrace_6,1.8649501447862669,-0.1203881790079486,0.041544518404741104,0.47310447449154935,0.06388332352833921,-1.2721511808482333,0.007103293694322002,0.02460735009327908,0.48064654491227604,-0.00011082320571728829
Terrace_7,1.7964486375274653,-0.10898110327297,0.06547391336384578,0.4357955183457811,0.07350506229910825,-1.1872064770289263,0.004614194909818917,0.024882354641382623,0.6502281992104227,0.00044214383102092854
