,T_in_delay1,T_in_delay4,PowerCompr_delay1,T_in_delay3,PowerCompr,T_in_delay2,weaTDryBul_delay1,T_in_delay13,Intercept,weaHGloHor_delay1
Detached_0,1.4313250426506938,0.0015108159409034094,0.12238254740587436,0.07941810939200872,0.04081671955531768,-0.5441037438400921,-0.0032171112825211384,0.007304687833724498,0.3752592087969191,0.00036876104408098507
Detached_1,1.556272405158301,-0.03153713406700134,0.10508042417765476,0.1718529578654131,0.026778082698423748,-0.7254080602657176,0.002432678337816162,0.012795315971676435,0.2568523429740259,0.00041270272499166293
Detached_2,1.4720098895707756,-0.0013369295532073139,0.11595641796496231,0.09956271702438196,0.03617908317038038,-0.604537059917716,-0.0011753133134873757,0.01293583411973701,0.33457038426736035,0.0003927947294276044
Detached_3,1.4631740725169322,-0.036150938840503716,0.12699593235949114,0.17977109255434245,0.04109412621529107,-0.6643394177609809,0.009624178773294877,0.025004083996931104,0.5076851498516766,0.0004234744763424005
Detached_4,1.4641344118491924,-0.039503259407395255,0.13081028343019827,0.18646368012193304,0.04296730124708181,-0.6705140910698725,0.010131935218121621,0.025153122529941452,0.5207820512481041,0.00042882230518171273
Detached_5,1.4200780407386802,-0.022792904024726196,0.1440656977733492,0.15741791293602692,0.051980387082986225,-0.6144575595080906,0.012628385881830899,0.012013414153236396,0.6883808203813986,0.00025043008786389465
Detached_6,1.5401551460877265,-0.028275043109646666,0.10372134052518975,0.1643724734087017,0.02632484206240493,-0.706312754473708,0.002434166890806905,0.015005804445020324,0.2502476191485589,0.00038830511431925657
Detached_7,1.4840315899445666,-0.0003133847148165392,0.11858438519786306,0.10515218704374767,0.035822951221029194,-0.6222565005127827,-0.002089859705693435,0.010380569758844667,0.3616947124644191,0.0003561064668115906
Detached_8,1.4233539341244745,-0.012243967599386854,0.1435008320651484,0.14053207883858732,0.04976525693578381,-0.6081484311141385,0.0126693664156976,0.008708701352032954,0.7249348025900357,0.00022548457794242777
Detached_9,1.425469025864517,0.006519524799858845,0.1345701145876912,0.08927155574141539,0.04540107534968376,-0.5605070410690027,0.00024733057573852167,0.006503631792059085,0.5030857350754695,0.0003225903133935469
SemiDetached_0,1.5107617482898794,-0.052712151705721216,0.16511056839383678,0.12330490430505896,0.03799602238244561,-0.5879132730754314,-0.0022362863329219544,-0.003942571927236498,0.16719420330184512,0.000207747044212457
SemiDetached_1,1.4872444594183554,-0.06323748036141719,0.14459165139109065,0.1260671747158203,0.0351857177693925,-0.5574773817020392,-0.0006599325918332546,-0.0010154798408381455,0.14324707923116015,0.00022895216617755141
SemiDetached_10,1.5238343669160592,-0.05092401730460176,0.15306853129757303,0.13618629648096103,0.035150457181508575,-0.6167526245203909,-0.001673214479299647,-0.004228672554090762,0.18894271933476534,0.0001867713439382756
