,MSE-total-id,R2-id,MSE-model-resid,R2-valid,MSE-valid,MSE-model-id
Detached_0,7.739792859,0.999186696,0.006334674,0.998020546,0.013712655,1228.766913
Detached_1,7.966911835,0.999261495,0.005920867,0.998114954,0.013687602,1264.91893
Detached_2,7.222477326,0.999250109,0.005450372,0.99792516,0.013689731,1146.710844
Detached_3,7.548547293,0.999178095,0.006243482,0.998017224,0.013532932,1198.394516
Detached_4,7.67628931,0.999187892,0.006273463,0.997953428,0.014379549,1218.686569
Detached_5,8.524263259,0.999119219,0.007555565,0.997963917,0.015500405,1353.217778
Detached_6,7.85114145,0.999250859,0.005918861,0.998357832,0.0111701,1246.524619
Detached_7,7.42246597,0.999285673,0.005335648,0.998116267,0.012611777,1178.504931
Detached_8,8.653422432,0.999156553,0.00734493,0.99820872,0.013773577,1373.772992
Detached_9,8.755424366,0.999223899,0.006838128,0.998320282,0.01289969,1390.059985
SemiDetached_0,6.441482549,0.99926381,0.004772191,0.998202098,0.010258537,1022.726529
SemiDetached_1,5.375339602,0.999125914,0.004728269,0.997776933,0.010628764,853.3351956
SemiDetached_2,6.339331656,0.999145752,0.005449663,0.997978033,0.011263665,1006.388922
SemiDetached_3,6.086280945,0.999143467,0.005246117,0.997899216,0.011351296,966.2141133
SemiDetached_4,5.75514965,0.99922476,0.004489878,0.997952582,0.010721959,913.7204314
SemiDetached_5,5.686461227,0.999175615,0.004717524,0.997897891,0.010574126,902.7706614
SemiDetached_6,5.359680169,0.999270866,0.003932678,0.997911932,0.010253636,850.9727008
SemiDetached_7,5.725247482,0.99921007,0.004551188,0.998040947,0.010040652,908.959629
SemiDetached_8,5.559983702,0.999226559,0.004327556,0.997861284,0.010793316,882.7363597
SemiDetached_9,5.543809188,0.99921082,0.004402772,0.997917872,0.010293683,880.1545334
SemiDetached_10,5.358971495,0.999245005,0.004071624,0.997947916,0.009766973,850.8381622
SemiDetached_11,6.030069336,0.999231876,0.00466118,0.998011317,0.010552496,957.3750682
Terrace_0,2.368610116,0.998992147,0.002402331,0.99680307,0.006383163,375.9665282
Terrace_1,1.928585199,0.99897677,0.001985885,0.996043035,0.007408395,306.1172103
Terrace_2,2.290990143,0.999144674,0.001971955,0.997160039,0.0051513,363.7015286
Terrace_3,2.200132812,0.998858552,0.002527242,0.995864833,0.008616705,349.1776345
Terrace_4,2.107322142,0.998983534,0.002155588,0.996186787,0.007489842,334.4897304
Terrace_5,2.311278093,0.999072318,0.00215771,0.997099294,0.005447906,366.8957297
Terrace_6,2.598884952,0.999112529,0.002321044,0.997369335,0.005537482,412.5674754
Terrace_7,2.072079679,0.999045618,0.00199008,0.997995268,0.003754883,328.9162264
