,MSE-total-id,R2-valid,MSE-valid,MSE-model-resid,R2-id,MSE-model-id
Detached_0,3.0552800402538796,0.9951464932031562,0.01903018149994744,0.012052111662116846,0.9960801435373167,483.54715632124214
Detached_1,6.65679640460663,0.9982024012886159,0.012620138837657521,0.009830304239333214,0.9985325621217869,1056.1388884737098
Detached_2,3.598064035728979,0.9968278788317314,0.01430215652541735,0.00900354158602208,0.9975134194803557,570.270837610967
Detached_3,3.8215111963195074,0.9978629140037252,0.0095300510811308,0.006923850491386598,0.9981995934444472,606.1024687987373
Detached_4,3.709170500071918,0.9978467089553636,0.009705898213602387,0.006886431183171938,0.998155088851332,588.2586884879506
Detached_5,2.7403640091676653,0.9962297671417947,0.012763719109435141,0.008430503601742445,0.9969429446379608,434.08230972129843
Detached_6,6.5767974374570715,0.9981495949733185,0.011797232392803692,0.00922096492572187,0.9986067792161959,1043.5241493782403
Detached_7,3.0491834595761285,0.9962228003618623,0.014626908809716142,0.009029644203332675,0.9970573058677068,483.05569142010313
Detached_8,2.7797569051964057,0.9954236049938474,0.015083901887753931,0.008833339800613255,0.9968422615164992,440.27779984157655
Detached_9,2.4947261427642218,0.9942958737570592,0.018703211125446904,0.011098412829545445,0.9955792491649403,394.63194883578365
SemiDetached_0,3.571383096203508,0.9966715218593203,0.014697207485578272,0.008595239338221258,0.9976084493888707,566.0959991634894
SemiDetached_1,5.1341094066051625,0.9980631976040003,0.011011508452658645,0.007352424523153924,0.9985769390669278,814.5920729108868
SemiDetached_10,2.5021725280899076,0.9964010323135213,0.011617666961967022,0.0068809718281210895,0.9972673087344464,396.48098380008975
SemiDetached_11,1.963829989870923,0.9961213986107599,0.010683032399767506,0.007097662853647648,0.9964085525301818,310.9101229555985
SemiDetached_2,2.6156935501192424,0.9957442618670002,0.014809670346290904,0.009440757134518642,0.9964134407941266,414.11405119804067
SemiDetached_3,1.8160057323655487,0.9966972034248339,0.008616334842381057,0.006279492019125541,0.9965639036102847,287.5516710137286
SemiDetached_4,2.3475525466431484,0.9989202559579539,0.003682353360857989,0.0036687710733580223,0.9984470290511808,372.4207575560511
SemiDetached_5,2.2202538202540736,0.9958905196871971,0.012241251791675522,0.007690541261255563,0.9965579884679838,351.5594115367868
SemiDetached_6,4.6913426330057515,0.9983280701582689,0.009230593354109957,0.005847243750600844,0.9987614541570834,744.4790035365136
SemiDetached_7,6.13449152457792,0.9983864953689245,0.010752922483060322,0.0073519922337792545,0.9988090747334615,973.5417443535807
SemiDetached_8,4.236648850349754,0.9976903847394678,0.011859036590277875,0.007121515261597646,0.9983296480812681,672.032020312602
SemiDetached_9,2.5418237200829115,0.9963684286815466,0.011914353390788777,0.007115054288782624,0.9972184246409524,402.7441586193559
Terrace_0,1.4070583995546653,0.9968829774386745,0.005153896990237863,0.003437759576211316,0.9975721524222367,223.0231616672639
Terrace_1,3.021513320163485,0.9988543976090896,0.003390367737609016,0.002949452832631884,0.9990299927446232,479.6192083731793
Terrace_2,2.537104680681062,0.9952236431652312,0.013838498339074747,0.00813030865080404,0.99681560680661,401.834058309014
Terrace_3,2.077125807061875,0.9976112779224334,0.005322346672377307,0.0035087208441241225,0.9983214122255808,329.4782235309979
Terrace_4,1.925069564576602,0.9981947014842775,0.003924943931225126,0.002765906845520241,0.998572259885682,305.43545819078406
Terrace_5,1.8810513008765313,0.9944873508971105,0.012297827084538407,0.007370549164062571,0.9961063469725745,297.71442332125633
Terrace_6,1.6385826497089682,0.9943754692756787,0.010927204891092404,0.006458667613417885,0.9960831889331,259.33282471168417
Terrace_7,12.379409499395319,0.998682515996735,0.011029411727395355,0.00727098580367693,0.9994163514540079,1965.8026125898089
