,PIcons_centr_30bldgs_jan,PIcons_centr_30bldgs_mar,PIcons_centr_30bldgs_mor_jan,PIcons_centr_30bldgs_mor_mar,PIcons_centr_30bldgs_mor_nov,PIcons_centr_30bldgs_nov,PIcons_decentr_30bldgs_jan,PIcons_decentr_30bldgs_mar,PIcons_decentr_30bldgs_mor_jan,PIcons_decentr_30bldgs_mor_mar,PIcons_decentr_30bldgs_mor_nov,PIcons_decentr_30bldgs_nov,centr_30bldgs_jan,centr_30bldgs_mar,centr_30bldgs_mor_jan,centr_30bldgs_mor_mar,centr_30bldgs_mor_nov,centr_30bldgs_nov,decentr_30bldgs_jan,decentr_30bldgs_mar,decentr_30bldgs_mor_jan,decentr_30bldgs_mor_mar,decentr_30bldgs_mor_nov,decentr_30bldgs_nov,minene_decentr_centr_30bldgs_jan,minene_decentr_centr_30bldgs_mar,minene_decentr_centr_30bldgs_mor_jan,minene_decentr_centr_30bldgs_mor_mar,minene_decentr_centr_30bldgs_mor_nov,minene_decentr_centr_30bldgs_nov,minene_decentr_decentr_30bldgs_jan,minene_decentr_decentr_30bldgs_mar,minene_decentr_decentr_30bldgs_mor_jan,minene_decentr_decentr_30bldgs_mor_mar,minene_decentr_decentr_30bldgs_mor_nov,minene_decentr_decentr_30bldgs_nov
Case Cost [pounds],,,,,,,,,,,,,6.251885238333333,0.7347825549919166,7.0677065298974995,5.908384091719584,3.9208234933056247,2.5791690039108333,6.283723119934583,0.5899051297406667,7.246055518555834,6.067257926400417,4.024203395006667,2.660494099777083,,,,,,,,,,,,
PI-diff [kWh],,,,,,,,,,,,,-13.634442958499633,-3.7788207043087856,-21.777798925934746,-29.823719420065704,-25.690288521035146,-8.69293756374937,-13.805223571499639,-3.8222285534004503,-16.037322792601408,-24.492341705307364,-21.436686070697654,-9.489317359757703,,,,,,,,,,,,
PI-diff-mean [W],,,,,,,,,,,,,-24453.31787732925,-6815.335000672653,-36744.74805875318,-49422.757762677764,-42676.10023150875,-15700.844840558717,-24428.342475837544,-6897.169802291437,-24500.787973228318,-37524.12710114183,-33252.06555976235,-17185.747300188552,,,,,,,,,,,,
Total Consumption [kWh],,,,,,,,,,,,,107.20868786433331,10.630745930091667,118.25182536608331,95.38921654689166,63.30566093369583,44.330964104766664,108.31084228069165,10.806341591916665,123.05374426525,100.74307140217498,67.02853024028333,47.49153303094167,,,,,,,,,,,,
Violation Ch,,,,,,,,,,,,,0.15543360371498238,0.9214102180710123,1.0741335213939796,3.61885581934511,1.2724761845576753,0.004495816815657841,0.16980579691440784,0.9214470734846002,0.7971464868156108,3.382934788509705,1.0277703026804754,0.008979719542566045,,,,,,,,,,,,
dr-diff [kWh],,,,,,,,,,,,,-0.11481335450000188,0.8693878125416664,-0.11751797916666754,3.2733463524999995,2.539397809445833,-0.4691467009083338,-0.28559396750000066,-0.6553034020499999,5.622958154166666,8.590852474758332,6.785279525616667,-1.2748601369166668,,,,,,,,,,,,
dr-diff-mean [W],,,,,,,,,,,,,-196.82289342857464,1490.3791072142853,-201.45939285714434,5611.450889999999,4353.253387621428,-804.2514872714294,-489.58965857142965,-1123.3772606571426,9639.356835714283,14727.175671014285,11631.9077582,-2185.4745204285714,,,,,,,,,,,,
dr-diff-wols [kWh],,,,,,,,,,,,,-3.114813354500001,-2.130612187458333,-0.6175179791666661,2.7733463525000004,2.0393978094458336,-3.4691467009083334,-3.2855939675000005,-2.17402003655,5.122958154166666,8.104724067258333,6.293000259783334,-4.265526496916666,,,,,,,,,,,,
dr-diff-wols-mean [W],,,,,,,,,,,,,-5339.680036285716,-3652.478035642857,-1058.6022499999988,4754.308032857143,3496.110530478572,-5947.108630128571,-5632.446801428572,-3726.8914912285713,8782.213978571426,13893.812686728572,10788.000445342857,-7312.331137571428,,,,,,,,,,,,
elec_costs,,,,,,,,,,,,,6.22321311595,0.6239550418794166,6.853589749514167,5.365581445627917,3.6447652553239585,2.5767888510016665,6.253163090934583,0.631312621254,7.061937235305834,5.623105295692084,3.8278624963200003,2.7335331693854164,,,,,,,,,,,,
enemin-diff [kWh],,,,,,,,,,,,,-0.2317387720000003,-0.5521402399916666,2.5091729891666668,2.446503922083333,3.040367879195834,-0.4149008978416667,-0.40251938499999995,-0.5955480890833331,8.249649122500001,7.777881636841667,7.293970329533327,-1.21128069385,,,,,,,,,,,,
enemin-diff-mean [W],,,,,,,,,,,,,-633.5686813812156,-1183.4564016486186,5046.266213314917,4920.644844740331,6566.701110758561,-750.7741284806631,-608.593279889503,-1265.291203267403,17290.22629883978,16819.275506276237,15990.735782504971,-2235.676588110497,,,,,,,,,,,,
flex_costs,,,,,,,,,,,,,0.028672122383333165,0.11082751311249997,0.21411678038333315,0.5428026460916665,0.27605823798166645,0.0023801529091666152,0.03056002899999995,-0.041407491513333325,0.18411828324999996,0.44415263070833344,0.19634089868666665,-0.07303906960833333,,,,,,,,,,,,
peak consumption [kW],,,,,,,,,,,,,80.81010926,25.143049606,86.10246664999998,88.46294592000001,50.838345063999995,32.73004701,80.81010926,25.479816136,95.47732199999999,95.99632026,73.69167479999999,66.12563766,,,,,,,,,,,,
peak time,,,,,,,,,,,,,2017-01-07 16:40:00,2017-03-01 17:35:00,2017-01-07 06:40:00,2017-03-01 06:40:00,2017-11-20 06:40:00,2017-11-20 17:40:00,2017-01-07 16:40:00,2017-03-01 17:35:00,2017-01-07 07:40:00,2017-03-01 07:35:00,2017-11-20 07:40:00,2017-11-20 17:40:00,,,,,,,,,,,,
totcons_hc [kWh],65.90446512826088,10.954962832095925,70.94177376878164,64.86436848498921,47.81399555821868,31.07300876229658,65.90446512826088,10.954962832095925,70.94177376878164,64.86436848498921,47.81399555821868,31.07300876229658,42.46693263975,4.477394698183334,45.095402559250005,29.527390949225,23.844069030816662,17.08789937034167,41.9430831225,4.420053806925001,43.897178998333324,27.874939250250005,22.515703103116664,15.847088726333332,42.94019181416667,5.152185317283332,46.00411134083333,30.19109425278333,24.463689913666666,17.897285861266667,42.94019181416667,5.152185317283332,46.00411134083333,30.19109425278333,24.463689913666666,17.897285861266667
totcons_lc [kWh],83.219755792601,11.635978057102015,83.21645598355536,89.41862888391505,73.30434859273265,44.743507790953664,83.219755792601,11.635978057102015,83.21645598355536,89.41862888391505,73.30434859273265,44.743507790953664,64.74175522458334,6.153351231908333,73.15642280683333,65.86182559766665,39.461591902879164,27.243064734424998,66.36775915819165,6.386287784991667,79.15656526691667,72.868132151925,44.51282713716668,31.64444430460833,61.89614921866666,3.4853718515666667,70.08473277933334,62.649464620250015,35.765172764249996,23.837005028916668,61.89614921866666,3.4853718515666667,70.08473277933334,62.649464620250015,35.765172764249996,23.837005028916668
