,PIcons_nov,centr_30bldgs_mor_decoup_nov,centr_30bldgs_mor_nov,minene_decentr_nov
Case Cost [pounds],,2.0376414957475,3.9208234933056247,
PI-diff [kWh],,-31.925223406480974,-25.690288521035146,
PI-diff-mean [W],,-52176.8008850187,-42676.10023150875,
Total Consumption [kWh],,37.7864692295,63.30566093369583,
Violation Ch,,1.327366565640877,1.2724761845576753,
dr-diff [kWh],,-2.695944713166667,2.539397809445833,
dr-diff-mean [W],,-4621.619508285715,4353.253387621428,
dr-diff-wols [kWh],,-2.6959447131666674,2.0393978094458336,
dr-diff-wols-mean [W],,-4621.619508285716,3496.110530478572,
elec_costs,,2.0376414957475,3.6447652553239585,
enemin-diff [kWh],,-3.1945670062500007,3.040367879195834,
enemin-diff-mean [W],,-2933.999542751384,6566.701110758561,
flex_costs,,0.0,0.27605823798166645,
peak consumption [kW],,55.77073989000001,50.838345063999995,
peak time,,2017-11-20 06:40:00,2017-11-20 06:40:00,
totcons_hc [kWh],47.81399555821868,0.0,23.844069030816662,24.463689913666666
totcons_lc [kWh],73.30434859273265,37.7864692295,39.461591902879164,35.765172764249996
